"","Função","Programa","Grupo.de.Despesa","Modalidade.de.Aplicação","Resultado.Primário","Projeto.de.Lei","Dotação.Inicial","Dotação.Atual","Empenhado","Liquidado","Pago"
"759","19","2056","3","90","2",3320000,3320000,542,140.953,140.953,140.953
"760","19","2056","4","90","2",680,680,0,0,0,0
"761","19","2056","3","90","2",3761000,3761000,3761000,3278520,2577126,2577126
"762","19","2056","4","90","2",1700000,1700000,1700000,1685333,179.402,179.402
"763","19","2056","3","50","2",0,0,459.524,459.525,0,0
"764","19","2056","3","90","2",2042145,2042145,1582621,1519986,484.566,484.566
"765","19","2056","4","50","2",0,0,6424422,6424422,0,0
"766","19","2056","4","90","2",5657855,5657855,1135228,1275751,132.543,132.543
"767","19","2056","3","50","2",0,0,2559320,2559320,2500799,2500799
"768","19","2056","3","90","2",1922000,1922000,2140680,1740245,203.962,203.962
"769","19","2056","3","90","2",1970000,1970000,1970000,1820537,1332073,1216937
"770","19","2056","4","90","2",1030000,1030000,1030000,1029807,299.447,299.447
"771","19","2056","3","90","2",3500000,3500000,3500000,2400701,1351309,1351309
"772","19","2056","4","90","2",1500000,1500000,1500000,1486919,285.042,285.042
"773","19","2056","3","90","2",200,200,1200000,0,0,0
"774","19","2056","4","90","2",0,0,6438567,0,0,0
"775","19","2056","3","90","2",561,561,0,0,0,0
"776","19","2056","4","90","2",3900000,3900000,3357845,3357844,3306844,3306844
"777","19","2056","3","90","2",17314930,17314930,19341430,19282774,9151487,7705688
"778","19","2056","4","90","2",26234570,26234570,6495101,6494171,954.702,954.702
"779","19","2056","3","90","2",15778177,15778177,17243677,17079988,12084167,12084167
"780","19","2056","4","90","2",23432921,23432921,37805978,37475018,20281391,20281391
"781","19","2056","3","90","2",200,200,0,0,0,0
"782","19","2056","3","90","2",3731000,3731000,0,0,0,0
"783","19","2056","4","90","2",530,530,0,0,0,0
"784","19","2106","3","90","1",0,20,0,0,0,0
"785","19","2106","3","90","1",0,0,20,0,0,0
"789","19","2106","3","90","1",7.2,0,0,0,0,0
"790","19","2106","3","90","1",24,0,0,0,0,0
"791","19","2106","3","90","1",240,0,0,0,0,0
"792","19","2106","3","90","1",20,0,0,0,0,0
"793","19","2106","3","90","2",300,300,300,0,0,0
"794","19","2106","3","50","2",0,0,131.465,131.466,0,0
"795","19","2106","3","80","2",0,0,1.162,1.163,1.163,1.163
"796","19","2106","3","90","2",12043149,12043149,11836384,11509251,7291060,7291060
"797","19","2106","3","90","2",32.138,32.138,32.138,0,0,0
"798","19","2106","3","91","2",0,0,74.138,74.137,46.234,46.234
"799","19","2106","4","50","2",0,0,693.534,693.534,0,0
"800","19","2106","4","90","2",3664342,3664342,2970808,2041187,666.328,637.348
"801","19","2106","3","90","1",48,48,68,66.34,66.34,66.34
"802","19","2106","3","90","1",11.796,11.796,9.796,9.796,9.796,9.796
"803","19","2106","3","90","1",0,7.2,0,0,0,0
